file,current_lines,backup_lines,diff_lines,same,diff_file
entry\src\main\ets\foundation\tokens\SymbolTokens.ets,229,149,88,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__foundation__tokens__SymbolTokens.ets.diff
entry\src\main\ets\models\TodayPlan.ets,144,144,0,True,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__models__TodayPlan.ets.diff
entry\src\main\ets\pages\AnnouncementsPage.ets,206,204,35,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__AnnouncementsPage.ets.diff
entry\src\main\ets\pages\CreateTaskPage.ets,1278,1266,325,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__CreateTaskPage.ets.diff
entry\src\main\ets\pages\CreditTransactionsPage.ets,384,382,53,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__CreditTransactionsPage.ets.diff
entry\src\main\ets\pages\GoalDetailPage.ets,1828,1839,1048,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__GoalDetailPage.ets.diff
entry\src\main\ets\pages\LoginPage.ets,504,503,130,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__LoginPage.ets.diff
entry\src\main\ets\pages\MembershipPage.ets,652,650,62,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__MembershipPage.ets.diff
entry\src\main\ets\pages\ReschedulePage.ets,945,938,158,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__ReschedulePage.ets.diff
entry\src\main\ets\pages\SearchPage.ets,517,520,110,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__SearchPage.ets.diff
entry\src\main\ets\pages\TaskDetailPage.ets,964,962,379,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__TaskDetailPage.ets.diff
entry\src\main\ets\pages\TaskSelectPage.ets,457,457,73,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__TaskSelectPage.ets.diff
entry\src\main\ets\pages\TodayPlanPage.ets,822,722,228,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__pages__TodayPlanPage.ets.diff
entry\src\main\ets\services\AgentService.ets,1036,1033,102,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__AgentService.ets.diff
entry\src\main\ets\services\CloudSyncService.ets,236,200,157,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__CloudSyncService.ets.diff
entry\src\main\ets\services\CreditService.ets,114,111,21,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__CreditService.ets.diff
entry\src\main\ets\services\GoalPlanningService.ets,437,437,0,True,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__GoalPlanningService.ets.diff
entry\src\main\ets\services\HttpClient.ets,195,192,39,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__HttpClient.ets.diff
entry\src\main\ets\services\IAPService.ets,558,515,162,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__IAPService.ets.diff
entry\src\main\ets\services\RescheduleService.ets,742,742,0,True,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__RescheduleService.ets.diff
entry\src\main\ets\services\StatsService.ets,457,454,21,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__StatsService.ets.diff
entry\src\main\ets\services\TelemetryHelper.ets,99,99,0,True,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__TelemetryHelper.ets.diff
entry\src\main\ets\services\ThirdPartyAuthService.ets,241,236,68,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__ThirdPartyAuthService.ets.diff
entry\src\main\ets\services\UsageService.ets,123,120,52,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__UsageService.ets.diff
entry\src\main\ets\services\VoiceRecognitionService.ets,422,419,92,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__services__VoiceRecognitionService.ets.diff
entry\src\main\ets\theme\AppTheme.ets,148,148,71,False,C:\Users\tianchen\Code\Chronoisle2\recovery_staging\onedrive_diffs\entry__src__main__ets__theme__AppTheme.ets.diff
